"","year","temp_100_anom","age2_CA_US","temp_100_anom_z","age2_CA_US_z"
"1",1995,0.00514847603182303,0,0.0159820629379913,-0.550802142957939
"2",1998,0.488949972136315,0.0178725691124454,1.51781404437162,0.4286194342315
"3",2001,-0.202446754441128,0,-0.62844164973698,-0.550802142957939
"4",2003,-0.450789368010601,0,-1.39935468414168,-0.550802142957939
"5",2005,0.268824413799084,0.0271949588377195,0.834493289674355,0.939488889565968
"6",2007,-0.241057903725976,0.00217656635822145,-0.748299606570102,-0.431525723210188
"7",2009,-0.178269428743184,0.062596230327345,-0.553389626849338,2.87948805469643
"8",2011,-0.0563509742273845,0,-0.174926485265249,-0.550802142957939
"9",2012,-0.20284054633833,0.000417496052719245,-0.629664071060619,-0.527923247380475
"10",2013,-0.407092424158111,0,-1.26370924216395,-0.550802142957939
"11",2015,0.212147179771941,0.0024951846972996,0.658554018368799,-0.414065352839366
"12",2017,0.544859467591147,0,1.69137007719908,-0.550802142957939
"13",2019,0.218917890314403,0.0179110975454142,0.679571873236082,0.430730802683765
