"","year","temp_100_anom","age5_20_CA_US","temp_100_anom_z","age5_20_CA_US_z"
"1",1995,0.00514847603182303,0.136351946677983,0.0159820629379913,-0.93733994894135
"2",1998,0.488949972136315,0.590293370392843,1.51781404437162,1.87953275746804
"3",2001,-0.202446754441128,0.0331347908089446,-0.62844164973698,-1.57784018534042
"4",2003,-0.450789368010601,0.216176687544105,-1.39935468414168,-0.441998210789642
"5",2005,0.268824413799084,0.357343687187079,0.834493289674355,0.433994698352262
"6",2007,-0.241057903725976,0.326334103711147,-0.748299606570102,0.241568881347858
"7",2009,-0.178269428743184,0.424095433126029,-0.553389626849338,0.848213717409471
"8",2011,-0.0563509742273845,0.420409521105532,-0.174926485265249,0.825341284037355
"9",2012,-0.20284054633833,0.342699313413827,-0.629664071060619,0.343120998290373
"10",2013,-0.407092424158111,0.252921084110848,-1.26370924216395,-0.213985779239974
"11",2015,0.212147179771941,0.148140481342296,0.658554018368799,-0.864187775974376
"12",2017,0.544859467591147,0.413284874435041,1.69137007719908,0.78113024336017
"13",2019,0.218917890314403,0.0750806651725981,0.679571873236082,-1.31755067997977
